Plz;Ort;Longitude;Latitude
8291;"Burgau";47.1333;16.0833
5111;"Bürmoos";47.9833;12.9333
6706;"Bürs";47.1497;9.8
4411;"Christkindl";48.0333;14.3833
6752;"Dalaas";47.1167;9.98333
6884;"Damüls";47.2833;9.88333
8241;"Dechantskirchen";47.4167;16.0167
9772;"Dellach im Drautal";46.7375;13.0783
4693;"Desselbrunn";48.0167;13.7667
8483;"Deutsch Goritz";46.7508;15.8294
2423;"Deutsch Jahrndorf";48.0167;17.1
7572;"Deutsch Kaltenbrunn";47.0833;16.1
8121;"Deutschfeistritz";47.1833;15.3333
7301;"Deutschkreutz";47.6;16.6333
8530;"Deutschlandsberg";46.8153;15.2222
5652;"Dienten am Hochkönig";47.3667;13
3813;"Dietmanns";48.4667;15.15
9103;"Diex";46.75;14.6
4371;"Dimbach";48.3;14.8833
2181;"Dobermannsdorf";48.6;16.8167
3843;"Dobersberg";46.9231;14.3981
8143;"Dobl";46.95;15.3667
9873;"Döbriach";46.7833;13.6603
9991;"Dölsach";46.8283;12.8453
8953;"Donnersbach";47.4614;14.1297
7082;"Donnerskirchen";47.9;16.6333
6933;"Doren";47.4928;9.87972
4751;"Dorf an der Pram";48.2833;13.6167
5632;"Dorfgastein";47.25;13.1
4392;"Dorfstetten";48.3167;14.9667
6850;"Dornbirn";47.4167;9.73306
2165;"Drasenhofen";48.75;16.65
2265;"Drösing";48.5333;16.9
2263;"Dürnkrut";48.4833;16.85
6341;"Ebbs";47.6333;12.2167
5531;"Eben im Pongau";47.4;13.4
5323;"Ebenau";47.8;13.1833
9565;"Ebene Reichenau";46.85;13.9164
2490;"Ebenfurth";47.8667;16.3667
4802;"Ebensee";47.8;13.7667
7521;"Eberau";47.1;16.4667
2435;"Ebergassing";48.0333;16.5167
9141;"Eberndorf";46.5914;14.6436
4906;"Eberschwang";48.15;13.5667
9372;"Eberstein";46.8081;14.56
2483;"Ebreichsdorf";47.95;16.4
3903;"Echsenbach";48.7167;15.2167
2305;"Eckartsau";48.1333;16.8
8332;"Edelsbach bei Feldbach";46.9894;15.8369
8583;"Edelschrott";47.0167;15.05
4070;"Eferding";48.3167;14.0167
5142;"Eggelsberg";48.0833;13
3730;"Eggenburg";48.6333;15.8167
2031;"Eggendorf im Thale";48.5667;16.1667
4622;"Eggendorf im Traunkreis";48.1167;14.1333
4773;"Eggerding";48.1333;13.7333
3861;"Eggern";48.9;15.1333
8063;"Eggersdorf bei Graz";47.1167;15.5833
8461;"Ehrenhausen";46.7242;15.5867
6632;"Ehrwald";47.4;10.9167
8552;"Eibiswald";46.6867;15.2472
8790;"Eisenerz";47.5333;14.8833
7000;"Eisenstadt";47.85;16.5167
9861;"Eisentratten";46.9225;13.5675
3862;"Eisgarn";48.9;15.1
9421;"Eitweg";46.7667;14.8833
6652;"Elbigenalp";47.3;10.4333
5161;"Elixhausen";47.8667;13.0667
6352;"Ellmau";47.35;13.2667
6644;"Elmen";47.3333;10.5333
7562;"Eltendorf";47;16.2
3644;"Emmersdorf an der Donau";48.2333;15.3333
2292;"Engelhartstetten";48.1667;16.8833
